Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
6281,9600,6065,2837,6982,5686,1743,6264,8874,8256,36.309999999999995,63.470000000000006
5371,4726,1073,3536,2838,3519,7493,7849,4943,563,50.14999999999999,49.69
3225,4010,7049,5923,7881,3024,3132,9319,2068,667,59.160000000000004,40.72
3225,451,1112,2351,2055,3285,4625,6678,7760,5789,59.099999999999994,40.65
5381,2312,2823,5793,2838,3692,7493,1643,4469,1294,66.18,33.58
4161,2539,8231,5070,8292,3502,2619,4956,1378,4466,62.18,37.6
7076,4837,2340,4645,2919,4336,969,292,2574,9522,63.43,36.43
2455,1017,8257,5544,3448,9554,1979,7491,2324,750,44.68,55.04
4153,7725,7667,5301,2742,2022,5791,758,2068,6103,56.82000000000001,43.03
8548,697,3456,5939,6834,7888,9059,8844,2680,2127,47.449999999999996,52.15
522,8929,3262,765,4824,9470,1741,7722,6659,3143,55.720000000000006,44.080000000000005
7435,9776,8676,1352,2360,6872,3761,652,1346,6219,59.709999999999994,39.82
7947,9465,1408,1260,5890,3103,2317,8865,6587,2251,55.81,44.01
1778,4651,4424,8316,6743,4830,2469,7584,4986,232,49.28,50.43
7264,7691,8980,1805,2438,8116,1679,3628,6722,8498,62.949999999999996,36.71
6876,9242,4853,4692,2325,5763,2175,7746,8115,6429,67.33,32.440000000000005
6127,4086,8238,2570,3721,374,5148,947,2068,4110,54.96,44.879999999999995
2950,5439,6391,348,2419,3918,1339,1189,931,9855,40.81,59.03
4579,2194,9652,5547,7324,9347,1551,4204,8331,3594,58.68,41.07
2684,9764,3244,1700,6645,6208,7362,201,8122,8389,66.38,33.47
6774,9909,6746,5865,2325,337,2847,2335,8115,9740,70.23,28.62
1766,2159,5597,1741,7983,1210,6255,2684,3437,33,68.64,31.25
4097,3701,5413,9564,8046,4936,7830,7536,2070,8580,55.65,44.24
9152,2007,2131,6976,6123,8279,5803,1244,7882,2193,47.4,52.38
2251,7109,5248,7884,3414,6116,8467,3112,1543,5740,53.849999999999994,45.86
3270,797,5416,551,8656,3352,5183,6419,3382,6811,55.48,44.39
2880,5485,6391,1587,8125,6050,2670,8331,2068,8260,51.459999999999994,48.24
6281,5781,8737,3141,3683,936,2171,3936,1346,4900,58.41,41.39
7541,4101,2340,7771,6123,4429,5991,7578,2675,8620,58.589999999999996,41.22
6585,8173,8980,8587,5634,5429,1658,6458,4725,6115,61.9,37.519999999999996
8730,5603,4617,6305,2032,6637,8189,8510,2051,3535,71.03,28.51
8225,3536,1917,725,5545,9881,80,2802,3387,7819,52.62,46.989999999999995
6281,5449,4224,375,1650,6846,7478,4323,2446,4366,44.04,55.46
2880,8677,6858,8095,1351,3021,3994,6697,9688,1366,54.22,45.660000000000004
4761,5036,2243,9154,5432,2812,9520,1518,2446,5026,57.58,42.01
6980,1379,5842,2046,1526,3819,5374,5685,3161,120,57.64,41.93
6961,2245,7652,9900,1858,5625,5246,4526,6722,1720,67.75,32.1
8869,5729,4617,6103,2032,9749,8887,5749,6722,3554,49.97,49.919999999999995
6925,3838,2122,5119,2919,8737,7841,3791,1973,2966,51.73,47.48
4976,2965,4187,3075,7568,9974,3433,14,7024,8066,60.06,39.78
2251,7716,2664,2627,3968,4511,8121,5286,3120,9247,44.330000000000005,55.410000000000004
4425,8641,2087,8239,8131,2267,7183,9886,5013,6732,60.480000000000004,39.290000000000006
5133,3747,2659,107,8936,6628,6177,8415,7480,46,61.41,37.95
6359,359,4068,5001,4311,7425,7841,1766,1973,2655,66.56,33.22
4153,1846,8231,438,4184,9125,1551,9972,2417,2747,69.57,30.19
2975,9717,1452,4048,8131,4315,7183,899,7675,4801,59.550000000000004,40.26
1332,547,2012,9823,2268,6675,6223,8929,4943,6003,52.580000000000005,47.27
6774,4027,6018,5069,3589,8993,6173,1051,3175,3790,51.35999999999999,48.54
3602,8065,6858,3141,5692,4246,6320,8590,4986,6188,53.94,45.9
6016,2544,2823,2721,3174,9638,9156,3955,2983,5636,55.24,44.48
3131,3048,4621,3123,3715,9908,1551,47,7534,4320,61.53999999999999,37.76
8469,84,1970,4932,6834,5387,7394,4417,1973,5991,55.089999999999996,44.75
2917,8640,6858,1558,7519,2296,2520,4213,6234,3802,55.98,43.55
8533,8646,3153,8582,9176,4126,7073,2881,2068,3314,49.71,49.9
6127,6136,1272,6875,6852,8556,2772,4615,5727,9429,42.309999999999995,57.54
5386,5752,8238,6184,3882,8211,3026,7013,8331,9886,60.01,39.739999999999995
5643,3550,7059,4113,7176,7757,2632,3688,8331,5295,50.88,48.61
6685,6911,8022,4008,2032,6762,4126,4500,2287,1284,61.35,38.14
4761,8470,2681,2547,7791,7159,2930,5714,8874,6464,50.61,48.94
3335,2299,8816,9530,5223,8980,9048,7033,2462,944,52.669999999999995,47.199999999999996
2456,5090,6391,9116,4878,3738,2619,5393,2516,4704,56.220000000000006,43.519999999999996
7938,8203,6625,1931,2438,5304,1372,7150,2496,4584,40.089999999999996,59.540000000000006
3270,7493,2664,7807,6141,963,8477,8914,5013,2196,60.91,38.9
3913,4925,1691,6315,8727,3023,8957,3880,1277,3649,46.7,52.92
2880,2988,7843,164,1187,2885,1339,6514,4493,256,72.61,27.200000000000003
4579,3484,5413,8181,4817,5341,2267,8342,8266,7035,56.910000000000004,42.870000000000005
3036,3390,7139,3868,8825,4204,3349,8145,8627,3495,42.65,57.099999999999994
6127,9251,7055,38,1722,1320,2175,3205,1346,9853,73.75,25.97
2530,1909,7620,9500,3715,239,6382,1903,2446,5610,78.82000000000001,20.79
2831,4593,8969,6268,7568,9684,7183,8129,4540,812,44.99,54.83
8730,4089,2845,4958,5971,2700,4625,8566,7671,9866,59.13,40.61
1065,4496,7910,9471,7881,3187,3059,3459,6258,9913,65.96,33.28
6585,5410,4224,1006,1650,8175,3276,9343,5328,1094,51.65,48.120000000000005
3270,5702,1368,9153,6078,8680,6710,271,8765,7771,59.53000000000001,39.98
2251,4589,7086,5349,1362,4794,7631,3610,532,79,58.76,41.120000000000005
2456,2470,5395,4280,8623,1778,3417,1955,166,9147,57.26,42.24
